Ano;Referencia;UF;População prisional_total;Pessoas privadas de liberdade por faixa etaria_18 a 24 anos;pessoas privadas de liberdade por faixa etaria_25 a 29 anos;pessoas privadas de liberdade por faixa etaria_30 a 34 anos;pessoas privadas de liberdade por faixa etaria_35 a 45 anos;pessoas privadas de liberdade por faixa etaria_46 a 60 anos;pessoas privadas de liberdade por faixa etaria_61 a 70 anos;pessoas privadas de liberdade por faixa etaria_Mais de 70 anos;Pessoas privadas de liberdade por cor de pele_Branca;Pessoas privadas de liberdade por cor de pele_Preta;Pessoas privadas de liberdade por cor de pele_Parda;Pessoas privadas de liberdade por cor de pele_Amarela;Pessoas privadas de liberdade por cor de pele_Indigena;Crimes contra o patrimonio | Furto simples (Art. 155) | Total;Crimes contra o patrimonio | Furto qualificado;Crimes contra o patrimonio | Roubo simples (Art. 157);Crimes contra o patrimonio | Roubo qualificado;Crimes contra o patrimonio | Latrocinio;Crimes contra o patrimonio | Extorsao;Crimes contra o patrimonio | Extorsao mediante sequestro;Crimes contra o patrimonio | Apropriacao indebita;Crimes contra o patrimonio | Apropriacao indebita previdenciaria;Crimes contra o patrimonio | Estelionato;Crimes contra o patrimonio | Receptacao;Crimes contra o patrimonio | Receptacao qualificada;Trafico de drogas;Associacao para o trafico;Trafico internacional de drogas
2024;2024/2;AL;959;182.0;296.0;243.0;189.0;49.0;0.0;0.0;232.0;170.0;514.0;0.0;1.0;17.0;95.0;157.0;251.0;32.0;0.0;3.0;1.0;0.0;6.0;6.0;17.0;405.0;136.0;0.0
2024;2024/2;AL;1275;71.0;270.0;276.0;388.0;194.0;55.0;21.0;337.0;223.0;706.0;0.0;9.0;24.0;39.0;115.0;229.0;49.0;2.0;6.0;0.0;0.0;8.0;51.0;0.0;365.0;99.0;2.0
2024;2024/2;AL;80;18.0;23.0;15.0;19.0;4.0;1.0;0.0;21.0;7.0;51.0;0.0;1.0;1.0;2.0;4.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;3.0;0.0
2024;2024/2;AL;980;301.0;263.0;150.0;185.0;78.0;3.0;0.0;273.0;103.0;604.0;0.0;0.0;22.0;23.0;26.0;134.0;21.0;3.0;2.0;0.0;0.0;3.0;20.0;3.0;264.0;30.0;0.0
2024;2024/2;AL;935;206.0;282.0;194.0;185.0;56.0;7.0;5.0;288.0;158.0;483.0;0.0;6.0;7.0;13.0;62.0;164.0;16.0;1.0;3.0;0.0;0.0;2.0;21.0;0.0;287.0;58.0;0.0
2024;2024/2;AM;2929;678.0;1107.0;450.0;342.0;323.0;29.0;0.0;445.0;390.0;2091.0;1.0;2.0;387.0;441.0;122.0;1180.0;6.0;9.0;1.0;1.0;0.0;10.0;16.0;0.0;248.0;0.0;49.0
2024;2024/2;AM;20;2.0;8.0;3.0;6.0;1.0;0.0;0.0;1.0;1.0;17.0;1.0;0.0;1.0;;6.0;2.0;1.0;;;;;;;;1.0;;
2024;2024/2;AM;20;4.0;4.0;3.0;4.0;3.0;1.0;1.0;3.0;1.0;16.0;0.0;0.0;;;1.0;2.0;;1.0;;;;;;;3.0;;
2024;2024/2;AM;1075;275.0;281.0;216.0;226.0;68.0;7.0;2.0;100.0;44.0;905.0;2.0;24.0;21.0;8.0;74.0;196.0;40.0;5.0;9.0;;;9.0;9.0;;278.0;41.0;1.0
2024;2024/2;AM;726;182.0;192.0;153.0;130.0;55.0;13.0;1.0;71.0;48.0;601.0;0.0;6.0;9.0;10.0;59.0;98.0;13.0;1.0;1.0;1.0;0.0;1.0;18.0;1.0;118.0;14.0;71.0
2024;2024/2;AM;5;1.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;1.0;;1.0;;;;;;;;;;2.0;;
2024;2024/2;AM;166;29.0;38.0;33.0;41.0;24.0;1.0;0.0;0.0;6.0;159.0;0.0;1.0;3.0;1.0;10.0;24.0;7.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;56.0;15.0;3.0
2024;2024/2;AM;2;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
2024;2024/2;AM;284;34.0;71.0;53.0;74.0;33.0;11.0;8.0;38.0;127.0;118.0;1.0;0.0;4.0;3.0;9.0;61.0;;1.0;3.0;1.0;;3.0;1.0;;123.0;16.0;2.0
2024;2024/2;AM;1001;281.0;311.0;295.0;95.0;15.0;4.0;0.0;136.0;83.0;776.0;6.0;0.0;172.0;109.0;269.0;399.0;35.0;32.0;6.0;0.0;0.0;17.0;22.0;4.0;833.0;32.0;16.0
2024;2024/2;AM;1446;96.0;315.0;381.0;446.0;175.0;28.0;5.0;267.0;143.0;1032.0;2.0;2.0;103.0;48.0;136.0;146.0;15.0;15.0;4.0;0.0;0.0;7.0;6.0;2.0;483.0;25.0;9.0
2024;2024/2;AM;1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024;2024/2;AM;832;122.0;248.0;288.0;144.0;29.0;1.0;0.0;61.0;54.0;714.0;1.0;2.0;17.0;9.0;76.0;96.0;10.0;3.0;4.0;;;1.0;11.0;;258.0;82.0;17.0
2024;2024/2;AM;16;1.0;8.0;2.0;5.0;0.0;0.0;0.0;0.0;2.0;13.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
2024;2024/2;AM;1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024;2024/2;AM;645;63.0;196.0;164.0;177.0;41.0;2.0;2.0;62.0;31.0;541.0;8.0;3.0;53.0;25.0;210.0;135.0;10.0;10.0;5.0;0.0;0.0;1.0;11.0;0.0;68.0;45.0;1.0
2024;2024/2;AM;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
2024;2024/2;AM;1073;117.0;169.0;201.0;333.0;193.0;48.0;12.0;65.0;109.0;853.0;14.0;32.0;20.0;12.0;46.0;89.0;32.0;5.0;4.0;2.0;;7.0;8.0;;93.0;19.0;
2024;2024/2;AM;127;64.0;24.0;10.0;11.0;17.0;1.0;0.0;17.0;50.0;55.0;0.0;5.0;12.0;6.0;10.0;33.0;10.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;57.0;10.0;0.0
2024;2024/2;AM;156;78.0;30.0;12.0;15.0;20.0;1.0;0.0;51.0;20.0;80.0;0.0;5.0;12.0;6.0;21.0;33.0;15.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;72.0;0.0;0.0
2024;2024/2;AM;23;1.0;3.0;5.0;12.0;2.0;0.0;0.0;3.0;4.0;16.0;0.0;0.0;0.0;2.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;1.0
2024;2024/2;AM;121;0.0;30.0;26.0;44.0;21.0;0.0;0.0;17.0;15.0;85.0;4.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71.0;15.0;0.0
2024;2024/2;AM;103;28.0;31.0;16.0;16.0;8.0;2.0;2.0;0.0;0.0;103.0;0.0;0.0;;2.0;5.0;13.0;;;1.0;;;;;;19.0;1.0;
2024;2024/2;AM;136;4.0;25.0;31.0;51.0;20.0;5.0;0.0;0.0;0.0;136.0;0.0;0.0;10.0;0.0;11.0;14.0;6.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;80.0;10.0;0.0
2024;2024/2;AM;53;6.0;19.0;7.0;15.0;6.0;0.0;0.0;3.0;3.0;46.0;0.0;1.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;3.0;0.0
2024;2024/2;AM;137;24.0;27.0;39.0;40.0;7.0;0.0;0.0;0.0;3.0;134.0;0.0;0.0;31.0;17.0;16.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.0;0.0;0.0
2024;2024/2;AM;57;19.0;11.0;19.0;5.0;2.0;0.0;1.0;2.0;0.0;52.0;0.0;3.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0
2024;2024/2;AM;112;23.0;34.0;36.0;18.0;1.0;0.0;0.0;14.0;0.0;97.0;0.0;1.0;0.0;1.0;2.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69.0;0.0;0.0
2024;2024/2;AM;86;27.0;18.0;10.0;21.0;7.0;2.0;1.0;10.0;1.0;54.0;0.0;21.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;8.0;1.0;8.0
2024;2024/2;AM;74;8.0;13.0;9.0;18.0;21.0;5.0;0.0;10.0;4.0;49.0;0.0;11.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;9.0;7.0
2024;2024/2;AM;109;29.0;24.0;21.0;26.0;8.0;1.0;0.0;4.0;4.0;95.0;0.0;6.0;2.0;8.0;8.0;16.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;9.0;0.0
2024;2024/2;AM;98;11.0;21.0;22.0;28.0;13.0;2.0;1.0;2.0;0.0;96.0;0.0;0.0;2.0;1.0;4.0;31.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;31.0;6.0;1.0
2024;2024/2;AM;2;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;;;;;;;;;;;;;1.0;;
2024;2024/2;AP;20;1.0;5.0;8.0;5.0;1.0;;;2.0;1.0;17.0;;;;;1.0;7.0;3.0;;;;;;1.0;;;;
2024;2024/2;AP;802;244.0;228.0;146.0;145.0;37.0;2.0;0.0;74.0;157.0;550.0;0.0;1.0;78.0;108.0;78.0;266.0;13.0;6.0;0.0;0.0;0.0;24.0;25.0;2.0;404.0;36.0;0.0
2024;2024/2;AP;697;124.0;140.0;117.0;211.0;87.0;14.0;4.0;40.0;67.0;279.0;1.0;0.0;;;;;;;;;;;;;;;
2024;2024/2;AP;22;1.0;1.0;0.0;12.0;6.0;1.0;1.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0
2024;2024/2;AP;34;10.0;6.0;11.0;5.0;1.0;1.0;0.0;8.0;8.0;18.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0
2024;2024/2;AP;17;1.0;4.0;3.0;4.0;5.0;;;4.0;4.0;6.0;;;4.0;3.0;3.0;2.0;;;;;;;;;2.0;;
2024;2024/2;AP;620;230.0;204.0;20.0;82.0;83.0;1.0;0.0;62.0;62.0;434.0;62.0;0.0;130.0;25.0;386.0;158.0;81.0;15.0;0.0;0.0;0.0;12.0;8.0;0.0;282.0;132.0;13.0
2024;2024/2;AP;111;21.0;25.0;19.0;30.0;15.0;1.0;0.0;5.0;16.0;90.0;0.0;0.0;10.0;6.0;5.0;20.0;3.0;1.0;2.0;0.0;0.0;1.0;4.0;0.0;84.0;10.0;1.0
2024;2024/2;AP;1568;186.0;478.0;354.0;401.0;142.0;7.0;0.0;157.0;320.0;1046.0;5.0;1.0;175.0;211.0;184.0;1130.0;85.0;15.0;1.0;2.0;1.0;42.0;49.0;10.0;895.0;49.0;0.0
2024;2024/2;AP;63;4.0;8.0;16.0;30.0;5.0;0.0;0.0;11.0;8.0;41.0;0.0;0.0;0.0;0.0;3.0;1.0;6.0;2.0;0.0;0.0;0.0;2.0;4.0;1.0;59.0;3.0;0.0
2024;2024/2;AP;2095;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;2024/2;BA;1100;359.0;248.0;166.0;191.0;106.0;14.0;2.0;75.0;294.0;712.0;1.0;4.0;8.0;19.0;68.0;192.0;8.0;0.0;8.0;0.0;0.0;7.0;25.0;0.0;349.0;68.0;7.0
2024;2024/2;BA;82;15.0;22.0;18.0;21.0;4.0;2.0;0.0;15.0;21.0;22.0;24.0;0.0;0.0;0.0;4.0;9.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
